"","x"
"DDX21",3.68710658067542
"PPAN",3.68525628041349
"ZNF449",3.68456801782094
"MAP2K1",3.68437327035198
"SERPINA1",3.68313406407753
"ZNF345",3.67927071146976
"MAST3",3.67818518269999
"S1PR4",3.67759329380711
"ELF4",3.67745429468764
"SEC31A",3.67734490507662
"ITGA10",3.67726401334838
"GOLGA1",3.67702511067695
"TAF5",3.6766943371802
"COL5A3",3.67594555047945
"ATP4A",3.67486118074826
"GNAS",3.67449069503924
"BUB1",3.67402300768161
"TLE4",3.67350215759778
"AMPH",3.67231042370479
"PIK3R1",3.67218176069249
